"","query","baseMean","log2FoldChange","lfcSE","pvalue","padj","blast_hit","evalue","ProteinNames","BiologicalProcess","GeneOntologyIDs","CellularComponent","MolecularFunction"
"622","Pocillopora_acuta_HIv2___RNAseq.g11700.t1",324.376977836821,-9.68910118394908,3.98560710543272,1.71357790347602e-07,3.43761314783317e-06,"P43247",0,"DNA mismatch repair protein Msh2 (MutS protein homolog 2)","B cell differentiation [GO:0030183]; B cell mediated immunity [GO:0019724]; determination of adult lifespan [GO:0008340]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; germ cell development [GO:0007281]; in utero embryonic development [GO:0001701]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; isotype switching [GO:0045190]; maintenance of DNA repeat elements [GO:0043570]; male gonad development [GO:0008584]; mismatch repair [GO:0006298]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; mitotic recombination [GO:0006312]; negative regulation of DNA recombination [GO:0045910]; negative regulation of neuron apoptotic process [GO:0043524]; oxidative phosphorylation [GO:0006119]; positive regulation of isotype switching to IgA isotypes [GO:0048298]; positive regulation of isotype switching to IgG isotypes [GO:0048304]; postreplication repair [GO:0006301]; protein localization to chromatin [GO:0071168]; regulation of cell cycle [GO:0051726]; response to UV-B [GO:0010224]; response to X-ray [GO:0010165]; somatic hypermutation of immunoglobulin genes [GO:0016446]; somatic recombination of immunoglobulin gene segments [GO:0016447]; somatic recombination of immunoglobulin genes involved in immune response [GO:0002204]","GO:0000287; GO:0000400; GO:0001701; GO:0002204; GO:0003677; GO:0003682; GO:0003684; GO:0003697; GO:0005524; GO:0005634; GO:0005654; GO:0005694; GO:0006119; GO:0006281; GO:0006298; GO:0006301; GO:0006302; GO:0006312; GO:0006974; GO:0007281; GO:0008340; GO:0008584; GO:0008630; GO:0010165; GO:0010224; GO:0016446; GO:0016447; GO:0016887; GO:0019237; GO:0019724; GO:0030183; GO:0030983; GO:0031573; GO:0032137; GO:0032142; GO:0032143; GO:0032181; GO:0032301; GO:0032302; GO:0032357; GO:0032405; GO:0042771; GO:0042803; GO:0043524; GO:0043531; GO:0043570; GO:0045190; GO:0045910; GO:0048298; GO:0048304; GO:0051726; GO:0071168; GO:0140664","chromosome [GO:0005694]; MutSalpha complex [GO:0032301]; MutSbeta complex [GO:0032302]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]","ADP binding [GO:0043531]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; centromeric DNA binding [GO:0019237]; chromatin binding [GO:0003682]; damaged DNA binding [GO:0003684]; dinucleotide repeat insertion binding [GO:0032181]; DNA binding [GO:0003677]; four-way junction DNA binding [GO:0000400]; guanine/thymine mispair binding [GO:0032137]; magnesium ion binding [GO:0000287]; mismatched DNA binding [GO:0030983]; MutLalpha complex binding [GO:0032405]; oxidized purine DNA binding [GO:0032357]; protein homodimerization activity [GO:0042803]; single guanine insertion binding [GO:0032142]; single thymine insertion binding [GO:0032143]; single-stranded DNA binding [GO:0003697]"
"623","Pocillopora_acuta_HIv2___RNAseq.g14867.t1",236.324861356435,-9.4290879651629,3.2243587887636,1.74279908511745e-07,3.48656237443138e-06,"Q5PQM2",1.36e-07,"Kinesin light chain 4 (KLC 4) (Kinesin-like protein 8)","microtubule-based movement [GO:0007018]","GO:0005737; GO:0005871; GO:0005874; GO:0007018; GO:0019894","cytoplasm [GO:0005737]; kinesin complex [GO:0005871]; microtubule [GO:0005874]","kinesin binding [GO:0019894]"
"624","Pocillopora_acuta_HIv2___RNAseq.g8316.t1",245.116187540382,-1.20454420186224,2.4697999286144,1.86796635620658e-07,3.71052966442072e-06,"Q9Z160",0,"Conserved oligomeric Golgi complex subunit 1 (COG complex subunit 1) (Component of oligomeric Golgi complex 1) (Low density lipoprotein receptor defect B-complementing protein)","glycosylation [GO:0070085]; Golgi organization [GO:0007030]; protein transport [GO:0015031]; retrograde transport, vesicle recycling within Golgi [GO:0000301]","GO:0000139; GO:0000301; GO:0005794; GO:0007030; GO:0015031; GO:0017119; GO:0070085","Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; Golgi transport complex [GO:0017119]",""
"625","Pocillopora_acuta_HIv2___RNAseq.g28909.t1",374.167179606024,-7.01045326964215,3.14533397102124,1.88366907795011e-07,3.73224514294115e-06,"Q3UHX0",2.26e-46,"Nucleolar protein 8","cellular response to leukemia inhibitory factor [GO:1990830]; protein localization to nucleolus [GO:1902570]; rRNA processing [GO:0006364]","GO:0003723; GO:0005730; GO:0006364; GO:1902570; GO:1990830","nucleolus [GO:0005730]","RNA binding [GO:0003723]"
"626","Pocillopora_acuta_HIv2___RNAseq.g7452.t1",80.6849919977347,-10.7466540063537,3.58111775777633,1.96914400027276e-07,3.89238131007319e-06,"P0CI65",3.08e-32,"Nephrocystin-3","cilium assembly [GO:0060271]; convergent extension [GO:0060026]; determination of left/right symmetry [GO:0007368]; heart jogging [GO:0003146]; kidney development [GO:0001822]; Kupffer's vesicle development [GO:0070121]; left/right pattern formation [GO:0060972]; pronephros development [GO:0048793]; visual perception [GO:0007601]; Wnt signaling pathway [GO:0016055]","GO:0001822; GO:0003146; GO:0005929; GO:0007368; GO:0007601; GO:0016055; GO:0048793; GO:0060026; GO:0060271; GO:0060972; GO:0070121; GO:0097543; GO:0097546","ciliary base [GO:0097546]; ciliary inversin compartment [GO:0097543]; cilium [GO:0005929]",""
"627","Pocillopora_acuta_HIv2___RNAseq.g8864.t1",28998.8049452589,-4.39943878514706,1.13879072880144,1.9698721784939e-07,3.89238131007319e-06,NA,NA,NA,NA,NA,NA,NA
"628","Pocillopora_acuta_HIv2___TS.g29166.t1",302.343248489353,-5.61715854459485,3.54921653449086,1.98115780384478e-07,3.90934058319385e-06,"Q13163",0,"Dual specificity mitogen-activated protein kinase kinase 5 (MAP kinase kinase 5) (MAPKK 5) (EC 2.7.12.2) (MAPK/ERK kinase 5) (MEK 5)","cellular response to growth factor stimulus [GO:0071363]; cellular response to laminar fluid shear stress [GO:0071499]; ERK5 cascade [GO:0070375]; heart development [GO:0007507]; insulin-like growth factor receptor signaling pathway [GO:0048009]; MAPK cascade [GO:0000165]; negative regulation of cell migration involved in sprouting angiogenesis [GO:0090051]; negative regulation of chemokine (C-X-C motif) ligand 2 production [GO:2000342]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of heterotypic cell-cell adhesion [GO:0034115]; negative regulation of interleukin-8 production [GO:0032717]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of response to cytokine stimulus [GO:0060761]; negative regulation of smooth muscle cell apoptotic process [GO:0034392]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell growth [GO:0030307]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of transcription by RNA polymerase II [GO:0045944]; signal transduction [GO:0007165]","GO:0000122; GO:0000165; GO:0004672; GO:0004674; GO:0004708; GO:0004713; GO:0005524; GO:0005819; GO:0007165; GO:0007507; GO:0030307; GO:0032088; GO:0032717; GO:0034115; GO:0034392; GO:0043154; GO:0043406; GO:0045944; GO:0046872; GO:0048009; GO:0050679; GO:0051247; GO:0060761; GO:0070375; GO:0071363; GO:0071499; GO:0090051; GO:0106310; GO:2000342; GO:2001240","spindle [GO:0005819]","ATP binding [GO:0005524]; MAP kinase kinase activity [GO:0004708]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]"
"629","Pocillopora_acuta_HIv2___RNAseq.g12898.t1",423.478465215243,-1.00216717895677,1.86457032842958,2.02667708104808e-07,3.99371352864842e-06,"Q8NFF2",1.74e-134,"Sodium/potassium/calcium exchanger 4 (Na(+)/K(+)/Ca(2+)-exchange protein 4) (Solute carrier family 24 member 4)","amelogenesis [GO:0097186]; calcium ion export across plasma membrane [GO:1990034]; calcium ion homeostasis [GO:0055074]; calcium ion import across plasma membrane [GO:0098703]; calcium ion transmembrane transport [GO:0070588]; cellular response to high light intensity [GO:0071486]; cone photoresponse recovery [GO:0036368]; detection of chemical stimulus involved in sensory perception of smell [GO:0050911]; drinking behavior [GO:0042756]; enamel mineralization [GO:0070166]; intracellular calcium ion homeostasis [GO:0006874]; membrane repolarization [GO:0086009]; monoatomic ion transport [GO:0006811]; negative regulation of calcium-mediated signaling [GO:0050849]; olfactory nerve maturation [GO:0021630]; phototransduction [GO:0007602]; positive regulation of gene expression [GO:0010628]; potassium ion transmembrane transport [GO:0071805]; regulation of eating behavior [GO:1903998]; regulation of G protein-coupled receptor signaling pathway [GO:0008277]; response to high light intensity [GO:0009644]; response to melanocyte-stimulating hormone [GO:1990680]; response to odorant [GO:1990834]; sensory perception of smell [GO:0007608]; sodium ion transmembrane transport [GO:0035725]","GO:0005262; GO:0005516; GO:0005737; GO:0005886; GO:0006811; GO:0006874; GO:0007602; GO:0007608; GO:0008273; GO:0008277; GO:0009644; GO:0010628; GO:0015293; GO:0016020; GO:0016324; GO:0021630; GO:0031982; GO:0035725; GO:0036368; GO:0042756; GO:0048306; GO:0050849; GO:0050911; GO:0055074; GO:0070166; GO:0070588; GO:0071486; GO:0071805; GO:0086009; GO:0097186; GO:0098703; GO:0120199; GO:1903998; GO:1990034; GO:1990680; GO:1990834","apical plasma membrane [GO:0016324]; cone photoreceptor outer segment [GO:0120199]; cytoplasm [GO:0005737]; membrane [GO:0016020]; plasma membrane [GO:0005886]; vesicle [GO:0031982]","calcium channel activity [GO:0005262]; calcium, potassium:sodium antiporter activity [GO:0008273]; calcium-dependent protein binding [GO:0048306]; calmodulin binding [GO:0005516]; symporter activity [GO:0015293]"
"630","Pocillopora_acuta_HIv2___RNAseq.g18059.t1",326.768182193263,-1.34190644356814,3.13252972322013,2.03731759894183e-07,4.00921928586321e-06,"Q9NHW7",1.68e-63,"Aquaporin AQPAe.a","","GO:0015267; GO:0016020","membrane [GO:0016020]","channel activity [GO:0015267]"
"631","Pocillopora_acuta_HIv2___RNAseq.g4732.t1",8464.82536451138,-4.18103397824048,1.09059113770803,2.06191576530102e-07,4.04113138608589e-06,"O97341",2.12e-38,"Calmodulin (CaM)","","GO:0005509; GO:0030234","","calcium ion binding [GO:0005509]; enzyme regulator activity [GO:0030234]"
"632","Pocillopora_acuta_HIv2___TS.g11111.t2",5024.11627672245,2.93677968483409,0.631607748959736,2.06490050920747e-07,4.0415048667357e-06,"Q13228",0,"Methanethiol oxidase (MTO) (EC 1.8.3.4) (56 kDa selenium-binding protein) (SBP56) (SP56) (Selenium-binding protein 1)","protein transport [GO:0015031]","GO:0001650; GO:0005615; GO:0005730; GO:0005829; GO:0008430; GO:0015031; GO:0016020; GO:0018549; GO:0070062","cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; fibrillar center [GO:0001650]; membrane [GO:0016020]; nucleolus [GO:0005730]","methanethiol oxidase activity [GO:0018549]; selenium binding [GO:0008430]"
"633","Pocillopora_acuta_HIv2___RNAseq.g17047.t1",87.493730148627,-8.60610870901117,2.71478311311644,2.08404812806888e-07,4.07346920599842e-06,"P32456",2.12e-09,"Guanylate-binding protein 2 (EC 3.6.5.-) (GTP-binding protein 2) (GBP-2) (HuGBP-2) (Guanine nucleotide-binding protein 2) (Interferon-induced guanylate-binding protein 2)","activation of innate immune response [GO:0002218]; cellular response to interleukin-1 [GO:0071347]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to type II interferon [GO:0071346]; cytolysis in another organism [GO:0051715]; defense response to bacterium [GO:0042742]; defense response to Gram-positive bacterium [GO:0050830]; defense response to protozoan [GO:0042832]; defense response to virus [GO:0051607]; immune response [GO:0006955]; positive regulation of AIM2 inflammasome complex assembly [GO:0140973]; positive regulation of pyroptotic inflammatory response [GO:0140639]; protein localization to nucleus [GO:0034504]","GO:0000139; GO:0002218; GO:0003924; GO:0004866; GO:0005525; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0006955; GO:0030659; GO:0031410; GO:0034504; GO:0042742; GO:0042802; GO:0042803; GO:0042832; GO:0048471; GO:0050830; GO:0051607; GO:0051715; GO:0071222; GO:0071346; GO:0071347; GO:0071356; GO:0140639; GO:0140678; GO:0140973","cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]","endopeptidase inhibitor activity [GO:0004866]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; molecular function inhibitor activity [GO:0140678]; protein homodimerization activity [GO:0042803]"
"634","Pocillopora_acuta_HIv2___RNAseq.g584.t3a",436.600226122974,-9.51398231564082,4.14521684600939,2.09995997989107e-07,4.09903119421652e-06,"Q28295",4.27e-97,"von Willebrand factor (vWF)","blood coagulation [GO:0007596]; cell adhesion [GO:0007155]; cell-substrate adhesion [GO:0031589]; hemostasis [GO:0007599]; platelet activation [GO:0030168]","GO:0002020; GO:0005178; GO:0005518; GO:0005576; GO:0005615; GO:0005783; GO:0007155; GO:0007596; GO:0007599; GO:0019865; GO:0030168; GO:0031012; GO:0031589; GO:0033093; GO:0042802; GO:0051087; GO:0062023","collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum [GO:0005783]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Weibel-Palade body [GO:0033093]","collagen binding [GO:0005518]; identical protein binding [GO:0042802]; immunoglobulin binding [GO:0019865]; integrin binding [GO:0005178]; protease binding [GO:0002020]; protein-folding chaperone binding [GO:0051087]"
"635","Pocillopora_acuta_HIv2___RNAseq.g9085.t1",7563.81025980618,3.02206875761231,0.653308718598362,2.10531705153329e-07,4.10275613369938e-06,"Q96PZ7",8.15e-53,"CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1)","conditioned place preference [GO:1990708]; female gonad development [GO:0008585]; glucose homeostasis [GO:0042593]; male gonad development [GO:0008584]; mammary gland branching involved in pregnancy [GO:0060745]; memory [GO:0007613]; oviduct epithelium development [GO:0035846]; startle response [GO:0001964]","GO:0001964; GO:0007613; GO:0008584; GO:0008585; GO:0016020; GO:0035846; GO:0042593; GO:0060745; GO:1990708","membrane [GO:0016020]",""
"636","Pocillopora_acuta_HIv2___RNAseq.g28502.t1",2555.16546812714,6.58989005008904,2.46691164807562,2.10754134910028e-07,4.10275613369938e-06,"B3EWY9",4.64e-28,"Mucin-like protein","cell-matrix adhesion [GO:0007160]","GO:0005509; GO:0005615; GO:0007160; GO:0016020","extracellular space [GO:0005615]; membrane [GO:0016020]","calcium ion binding [GO:0005509]"
"637","Pocillopora_acuta_HIv2___RNAseq.g28742.t1",119.786451567165,-11.4470546458794,3.93916681250642,2.19738113326166e-07,4.27189794509364e-06,"Q25060",2.23e-22,"LWamide neuropeptides [Cleaved into: LWamide I; LWamide II; LWS]","neuropeptide signaling pathway [GO:0007218]","GO:0005576; GO:0007218","extracellular region [GO:0005576]",""
"638","Pocillopora_acuta_HIv2___RNAseq.g7998.t1",122.376097363134,-10.9058303943002,3.78553851398372,2.2101303996836e-07,4.29091625517094e-06,"Q6H601",1.44e-23,"DEAD-box ATP-dependent RNA helicase 22 (EC 3.6.4.13)","","GO:0003724; GO:0003729; GO:0005524; GO:0009507; GO:0016887","chloroplast [GO:0009507]","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; mRNA binding [GO:0003729]; RNA helicase activity [GO:0003724]"
"639","Pocillopora_acuta_HIv2___RNAseq.g28991.t1",292.533200340185,-9.15711240225144,3.44289223016975,2.23288582201383e-07,4.32928425329866e-06,"Q8C4M7",1.03e-13,"Centromere protein U (CENP-U) (MLF1-interacting protein)","chordate embryonic development [GO:0043009]; chromosome segregation [GO:0007059]","GO:0000939; GO:0005634; GO:0005654; GO:0005737; GO:0007059; GO:0034451; GO:0043009","centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; inner kinetochore [GO:0000939]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]",""
"640","Pocillopora_acuta_HIv2___RNAseq.g26058.t1",292.935288567139,-7.74784910857504,2.6471815401895,2.25389569403236e-07,4.35251633090576e-06,"O15973",1.7e-18,"Rhodopsin, GQ-coupled (GQ-rhodopsin)","cellular response to light stimulus [GO:0071482]; phototransduction [GO:0007602]; visual perception [GO:0007601]","GO:0005886; GO:0007601; GO:0007602; GO:0008020; GO:0071482","plasma membrane [GO:0005886]","G protein-coupled photoreceptor activity [GO:0008020]"
"641","Pocillopora_acuta_HIv2___RNAseq.g30929.t1",215.760983612499,-1.20271691009703,2.47196947892046,2.28798389126698e-07,4.41245320043807e-06,"Q53FA7",2.68e-124,"Quinone oxidoreductase PIG3 (EC 1.6.5.5) (NADPH:quinone reductase PIG3) (Tumor protein p53-inducible protein 3) (Protein PIG3) (p53-induced gene 3 protein)","NADP metabolic process [GO:0006739]","GO:0003960; GO:0005829; GO:0006739; GO:0042803; GO:0048038; GO:0070402","cytosol [GO:0005829]","NADPH binding [GO:0070402]; NADPH:quinone reductase activity [GO:0003960]; protein homodimerization activity [GO:0042803]; quinone binding [GO:0048038]"
"642","Pocillopora_acuta_HIv2___RNAseq.g11868.t1",321.45389292764,-9.21450130762918,3.7744742252933,2.33127419949092e-07,4.48995339832712e-06,"Q8IYF3",1.8e-155,"Testis-expressed protein 11 (Protein ZIP4 homolog) (ZIP4H)","apoptotic process [GO:0006915]; chiasma assembly [GO:0051026]; ectopic germ cell programmed cell death [GO:0035234]; fertilization [GO:0009566]; male gonad development [GO:0008584]; male meiosis chromosome segregation [GO:0007060]; meiotic gene conversion [GO:0006311]; negative regulation of apoptotic process [GO:0043066]; negative regulation of developmental process [GO:0051093]; negative regulation of reproductive process [GO:2000242]; reciprocal meiotic recombination [GO:0007131]; resolution of meiotic recombination intermediates [GO:0000712]; synaptonemal complex assembly [GO:0007130]","GO:0000712; GO:0000801; GO:0005694; GO:0006311; GO:0006915; GO:0007060; GO:0007130; GO:0007131; GO:0008584; GO:0009566; GO:0035234; GO:0043066; GO:0051026; GO:0051093; GO:2000242","central element [GO:0000801]; chromosome [GO:0005694]",""
"643","Pocillopora_acuta_HIv2___RNAseq.g13936.t1",415.01767237816,-1.02722756849637,1.88498810947481,2.42330686856941e-07,4.6486353510594e-06,NA,NA,NA,NA,NA,NA,NA
"644","Pocillopora_acuta_HIv2___TS.g25579.t1",144.152661188822,-8.38608764022082,2.80230558615055,2.46308658061312e-07,4.71244501349051e-06,NA,NA,NA,NA,NA,NA,NA
"645","Pocillopora_acuta_HIv2___RNAseq.g21527.t1",228.335292813313,-1.09232452616685,2.10232628673571,2.49267327719531e-07,4.76243269885008e-06,"Q6BZW3",8.15e-41,"Protein BTN1","L-arginine transmembrane transport [GO:1903826]; lysine transport [GO:0015819]; regulation of intracellular pH [GO:0051453]","GO:0000324; GO:0005773; GO:0005774; GO:0015819; GO:0022857; GO:0051453; GO:1903826","fungal-type vacuole [GO:0000324]; vacuolar membrane [GO:0005774]; vacuole [GO:0005773]","transmembrane transporter activity [GO:0022857]"
"646","Pocillopora_acuta_HIv2___RNAseq.g29870.t1",86.7106421628634,-10.7888720632401,3.64710519449321,2.49579921579671e-07,4.76243269885008e-06,NA,NA,NA,NA,NA,NA,NA
"647","Pocillopora_acuta_HIv2___RNAseq.g12115.t1",238.615884202611,-8.28753615559567,3.58739986424385,2.58195199311215e-07,4.9203364464261e-06,"O14495",2.17e-48,"Phospholipid phosphatase 3 (EC 3.1.3.-) (EC 3.1.3.4) (Lipid phosphate phosphohydrolase 3) (PAP2-beta) (Phosphatidate phosphohydrolase type 2b) (Phosphatidic acid phosphatase 2b) (PAP-2b) (PAP2b) (Vascular endothelial growth factor and type I collagen-inducible protein) (VCIP)","Bergmann glial cell differentiation [GO:0060020]; blood vessel development [GO:0001568]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by integrin [GO:0033631]; ceramide metabolic process [GO:0006672]; gastrulation with mouth forming second [GO:0001702]; homotypic cell-cell adhesion [GO:0034109]; integrin-mediated signaling pathway [GO:0007229]; negative regulation of protein phosphorylation [GO:0001933]; phospholipid dephosphorylation [GO:0046839]; phospholipid metabolic process [GO:0006644]; positive regulation of cell-cell adhesion [GO:0022409]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; protein stabilization [GO:0050821]; regulation of sphingolipid mediated signaling pathway [GO:1902068]; regulation of Wnt signaling pathway [GO:0030111]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; signal transduction [GO:0007165]; sphingolipid catabolic process [GO:0030149]; sphingosine metabolic process [GO:0006670]; wound healing [GO:0042060]","GO:0000139; GO:0001568; GO:0001702; GO:0001933; GO:0005178; GO:0005789; GO:0005794; GO:0005802; GO:0005886; GO:0005912; GO:0006644; GO:0006670; GO:0006672; GO:0006890; GO:0007165; GO:0007229; GO:0008195; GO:0010595; GO:0016020; GO:0016323; GO:0022409; GO:0030111; GO:0030149; GO:0033116; GO:0033631; GO:0034109; GO:0042060; GO:0042392; GO:0045121; GO:0046839; GO:0050731; GO:0050821; GO:0051091; GO:0060020; GO:0070971; GO:0098609; GO:0106235; GO:1902068","adherens junction [GO:0005912]; basolateral plasma membrane [GO:0016323]; endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]","ceramide-1-phosphate phosphatase activity [GO:0106235]; integrin binding [GO:0005178]; phosphatidate phosphatase activity [GO:0008195]; sphingosine-1-phosphate phosphatase activity [GO:0042392]"
"648","Pocillopora_acuta_HIv2___RNAseq.g15950.t1",144.145123775651,8.17608818133859,2.85217049775249,2.63619014361891e-07,5.01708608385579e-06,NA,NA,NA,NA,NA,NA,NA
"649","Pocillopora_acuta_HIv2___RNAseq.g8821.t1",15967.8005170179,3.00420768041192,0.65728094398225,2.66272747268101e-07,5.0557485247527e-06,"P01026",2.73e-170,"Complement C3 [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc) (Neutrophil chemotactic factor-2) (ENCF-2); Complement C3 alpha chain; C3a anaphylatoxin (Neutrophil chemotactic factor-1) (ENCF-1); Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]","amyloid-beta clearance [GO:0097242]; chemotaxis [GO:0006935]; complement activation [GO:0006956]; complement activation, alternative pathway [GO:0006957]; complement activation, classical pathway [GO:0006958]; complement receptor mediated signaling pathway [GO:0002430]; complement-dependent cytotoxicity [GO:0097278]; complement-mediated synapse pruning [GO:0150062]; fatty acid metabolic process [GO:0006631]; inflammatory response [GO:0006954]; neuron remodeling [GO:0016322]; oviduct epithelium development [GO:0035846]; positive regulation of activation of membrane attack complex [GO:0001970]; positive regulation of angiogenesis [GO:0045766]; positive regulation of apoptotic cell clearance [GO:2000427]; positive regulation of developmental growth [GO:0048639]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of G protein-coupled receptor signaling pathway [GO:0045745]; positive regulation of glucose transmembrane transport [GO:0010828]; positive regulation of lipid storage [GO:0010884]; positive regulation of phagocytosis [GO:0050766]; positive regulation of phagocytosis, engulfment [GO:0060100]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of receptor-mediated endocytosis [GO:0048260]; positive regulation of type IIa hypersensitivity [GO:0001798]; positive regulation of vascular endothelial growth factor production [GO:0010575]; regulation of triglyceride biosynthetic process [GO:0010866]; response to bacterium [GO:0009617]; response to estradiol [GO:0032355]; response to estrogen [GO:0043627]; response to glucocorticoid [GO:0051384]; response to magnesium ion [GO:0032026]; response to progesterone [GO:0032570]; response to xenobiotic stimulus [GO:0009410]; retina development in camera-type eye [GO:0060041]; tolerance induction [GO:0002507]; vascular associated smooth muscle cell differentiation [GO:0035886]; vertebrate eye-specific patterning [GO:0150064]","GO:0001798; GO:0001934; GO:0001970; GO:0002430; GO:0002507; GO:0004866; GO:0005576; GO:0005615; GO:0006631; GO:0006935; GO:0006954; GO:0006956; GO:0006957; GO:0006958; GO:0008289; GO:0009410; GO:0009617; GO:0009986; GO:0010575; GO:0010828; GO:0010866; GO:0010884; GO:0016322; GO:0031715; GO:0032026; GO:0032355; GO:0032570; GO:0032991; GO:0035846; GO:0035886; GO:0043627; GO:0045745; GO:0045766; GO:0048260; GO:0048639; GO:0050766; GO:0051384; GO:0060041; GO:0060100; GO:0070374; GO:0097242; GO:0097278; GO:0150062; GO:0150064; GO:2000427","cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; protein-containing complex [GO:0032991]","C5L2 anaphylatoxin chemotactic receptor binding [GO:0031715]; endopeptidase inhibitor activity [GO:0004866]; lipid binding [GO:0008289]"
"650","Pocillopora_acuta_HIv2___RNAseq.g14373.t1",969.063918075449,10.7490935051724,8.48616040340234,2.66699123643965e-07,5.0557485247527e-06,"Q801S8",2.99e-16,"Collagen alpha-1(VI) chain","cell adhesion [GO:0007155]","GO:0005576; GO:0005581; GO:0007155; GO:0062023","collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]",""
"651","Pocillopora_acuta_HIv2___RNAseq.g24923.t1",212.854913156409,-9.1273684303529,3.49787818361819,2.69628136755302e-07,5.0979102876192e-06,"Q96IY1",7.53e-11,"Kinetochore-associated protein NSL1 homolog","attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]; mitotic sister chromatid segregation [GO:0000070]","GO:0000070; GO:0000444; GO:0000776; GO:0000922; GO:0000940; GO:0005634; GO:0005829; GO:0008608; GO:0016607; GO:0051301","cytosol [GO:0005829]; kinetochore [GO:0000776]; MIS12/MIND type complex [GO:0000444]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]; spindle pole [GO:0000922]",""
"652","Pocillopora_acuta_HIv2___RNAseq.g3911.t1",242.524364160997,-1.12401507238955,2.19558072024461,2.73882218480793e-07,5.1581151147216e-06,"Q6DGQ8",1.38e-96,"Nucleoside diphosphate kinase homolog 5 (3'-5' exonuclease NME5) (EC 3.1.-.-)","cilium movement [GO:0003341]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; UTP biosynthetic process [GO:0006228]","GO:0003341; GO:0004550; GO:0005929; GO:0006183; GO:0006228; GO:0006241; GO:0008408; GO:1902176","cilium [GO:0005929]","3'-5' exonuclease activity [GO:0008408]; nucleoside diphosphate kinase activity [GO:0004550]"
