,query,baseMean,log2FoldChange,lfcSE,pvalue,padj,Heatmap_Label,blast_hit,evalue,ProteinNames,BiologicalProcess,GeneOntologyIDs
110,Pocillopora_acuta_HIv2___RNAseq.g2959.t1,461.103526,-11.15076526,2.224586461,7.44E-13,9.79E-11,,NA,NA,NA,NA,NA
111,Pocillopora_acuta_HIv2___RNAseq.g16527.t1,431.570198,-13.81445058,3.742410354,9.16E-13,1.19E-10,,NA,NA,NA,NA,NA
112,Pocillopora_acuta_HIv2___RNAseq.g25686.t1,380.6592587,-10.83842621,2.166890796,9.75E-13,1.26E-10,,Q32PP9,2.30E-38,Transcription factor Sox-14,brain development [GO:0007420]; hypothalamus development [GO:0021854]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron differentiation [GO:0030182]; positive regulation of transcription by RNA polymerase II [GO:0045944],GO:0000122; GO:0000978; GO:0001228; GO:0005634; GO:0007420; GO:0021854; GO:0030182; GO:0045944
113,Pocillopora_acuta_HIv2___RNAseq.g24911.t1,853.0360986,0.932128539,1.725650405,9.86E-13,1.26E-10,,F1RWC3,1.53E-09,Cubilin (Intrinsic factor-cobalamin receptor),cholesterol metabolic process [GO:0008203]; protein transport [GO:0015031],GO:0004252; GO:0005509; GO:0005615; GO:0005765; GO:0005768; GO:0005905; GO:0008203; GO:0015031; GO:0016324; GO:0031419
114,Pocillopora_acuta_HIv2___TS.g14372.t1b,364.331646,-13.60559572,3.692364715,9.99E-13,1.27E-10,,NA,NA,NA,NA,NA
115,Pocillopora_acuta_HIv2___RNAseq.g26783.t1,361.9066697,-13.59995063,3.701053743,1.19E-12,1.50E-10,,Q0KHY3,1.47E-58,Protein mesh,cell-matrix adhesion [GO:0007160]; smooth septate junction assembly [GO:0090528],GO:0005615; GO:0005920; GO:0007160; GO:0016327; GO:0090528
116,Pocillopora_acuta_HIv2___RNAseq.g299.t1,382.0357994,-13.60263718,3.706028551,1.26E-12,1.56E-10,Sacsin,Q9NZJ4,0,Sacsin (DnaJ homolog subfamily C member 29),negative regulation of inclusion body assembly [GO:0090084]; protein folding [GO:0006457],GO:0005634; GO:0005737; GO:0005739; GO:0006457; GO:0030424; GO:0030425; GO:0030544; GO:0042802; GO:0051087; GO:0070628; GO:0070852; GO:0090084
117,Pocillopora_acuta_HIv2___RNAseq.g26596.t1,503.3224402,-13.9368776,3.803634536,1.26E-12,1.56E-10,,Q8NDA2,5.33E-26,Hemicentin-2,homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; synapse organization [GO:0050808],GO:0005509; GO:0005576; GO:0005886; GO:0007156; GO:0008046; GO:0030424; GO:0032154; GO:0043025; GO:0050808; GO:0062023
118,Pocillopora_acuta_HIv2___RNAseq.g8688.t1,10616.84233,-8.793603702,2.118567231,1.37E-12,1.68E-10,,NA,NA,NA,NA,NA
119,Pocillopora_acuta_HIv2___RNAseq.g24649.t1,769.933879,-14.50272615,3.902189224,1.51E-12,1.83E-10,Sacsin,Q9NZJ4,0,Sacsin (DnaJ homolog subfamily C member 29),negative regulation of inclusion body assembly [GO:0090084]; protein folding [GO:0006457],GO:0005634; GO:0005737; GO:0005739; GO:0006457; GO:0030424; GO:0030425; GO:0030544; GO:0042802; GO:0051087; GO:0070628; GO:0070852; GO:0090084
120,Pocillopora_acuta_HIv2___RNAseq.g18982.t1,470.7049008,-13.87798842,3.842947282,1.52E-12,1.83E-10,,NA,NA,NA,NA,NA
121,Pocillopora_acuta_HIv2___RNAseq.g2567.t1,363.9611239,-13.50371755,3.677283554,1.53E-12,1.83E-10,,P0C7M7,9.38E-55,"Acyl-coenzyme A synthetase ACSM4, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 4)",acyl-CoA metabolic process [GO:0006637]; fatty acid biosynthetic process [GO:0006633],GO:0004321; GO:0005524; GO:0005759; GO:0006633; GO:0006637; GO:0015645; GO:0046872; GO:0102391
122,Pocillopora_acuta_HIv2___TS.g1253.t1,528.009636,-13.82735973,3.814080513,1.65E-12,1.95E-10,,Q91175,1.60E-45,Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (MAR1),adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; cell-cell signaling [GO:0007267]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of MAPK cascade [GO:0043410],GO:0004937; GO:0005886; GO:0007200; GO:0007204; GO:0007267; GO:0043410; GO:0071880
123,Pocillopora_acuta_HIv2___RNAseq.5883_t,372.2458825,-13.5429823,3.698695544,1.77E-12,2.08E-10,,Q5RCC4,2.53E-65,Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17),cellular response to interferon-beta [GO:0035458]; dendritic spine development [GO:0060996]; negative regulation of hydrolase activity [GO:0051346]; peptidyl-threonine autophosphorylation [GO:1990443]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; regulation of endocannabinoid signaling pathway [GO:2000124]; regulation of neuron migration [GO:2001222],GO:0004674; GO:0004683; GO:0005516; GO:0005524; GO:0005954; GO:0014069; GO:0035458; GO:0043197; GO:0046427; GO:0046872; GO:0051346; GO:0060996; GO:0106310; GO:1990443; GO:2000124; GO:2001222
124,Pocillopora_acuta_HIv2___RNAseq.g3739.t1,353.3637531,-13.61725473,3.721080027,1.97E-12,2.30E-10,,NA,NA,NA,NA,NA
125,Pocillopora_acuta_HIv2___RNAseq.g15990.t1,372.608312,-13.5994792,3.722205034,1.99E-12,2.30E-10,,NA,NA,NA,NA,NA
126,Pocillopora_acuta_HIv2___RNAseq.g26586.t1,381.2471396,-13.7468056,3.764961479,2.02E-12,2.32E-10,,Q7TM99,4.51E-38,Monocarboxylate transporter 9 (MCT 9) (Solute carrier family 16 member 9),carnitine transmembrane transport [GO:1902603]; creatine transmembrane transport [GO:0015881]; monocarboxylic acid transport [GO:0015718]; urate metabolic process [GO:0046415],GO:0005308; GO:0005886; GO:0008028; GO:0015226; GO:0015718; GO:0015881; GO:0046415; GO:1902603
127,Pocillopora_acuta_HIv2___RNAseq.g13044.t1,735.6712123,-11.562959,2.622490522,2.43E-12,2.77E-10,,Q9UGM3,2.37E-79,Scavenger receptor cysteine-rich domain-containing protein DMBT1 (Deleted in malignant brain tumors 1 protein) (Glycoprotein 340) (Gp-340) (Hensin) (Salivary agglutinin) (SAG) (Surfactant pulmonary-associated D-binding protein),defense response [GO:0006952]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; defense response to virus [GO:0051607]; epithelial cell differentiation [GO:0030855]; induction of bacterial agglutination [GO:0043152]; innate immune response [GO:0045087]; protein transport [GO:0015031],GO:0005044; GO:0005576; GO:0005615; GO:0005737; GO:0006952; GO:0015031; GO:0030670; GO:0030855; GO:0031012; GO:0035375; GO:0038187; GO:0042589; GO:0043152; GO:0045087; GO:0048306; GO:0050829; GO:0050830; GO:0051607; GO:0070062
128,Pocillopora_acuta_HIv2___RNAseq.g30675.t1,961.1430218,9.707373322,2.11231759,2.81E-12,3.15E-10,Fork head domain-containing protein FD5,P32029,5.44E-27,Fork head domain-containing protein FD5,anatomical structure morphogenesis [GO:0009653]; cell differentiation [GO:0030154]; regulation of transcription by RNA polymerase II [GO:0006357],GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009653; GO:0030154
129,Pocillopora_acuta_HIv2___RNAseq.g10988.t1,1437.017709,-12.33042131,2.887421381,2.82E-12,3.15E-10,,NA,NA,NA,NA,NA
130,Pocillopora_acuta_HIv2___RNAseq.11917_t,416.6462514,-13.60011729,3.78170396,2.83E-12,3.15E-10,,Q805E5,1.13E-45,Carbohydrate sulfotransferase 14 (EC 2.8.2.-) (Dermatan 4-sulfotransferase 1) (D4ST-1) (zD4ST-1),carbohydrate biosynthetic process [GO:0016051]; dermatan sulfate proteoglycan metabolic process [GO:0050655],GO:0000139; GO:0001537; GO:0008146; GO:0016051; GO:0050655
131,Pocillopora_acuta_HIv2___RNAseq.g10339.t1,392.0494305,-13.61042337,3.768150754,2.97E-12,3.28E-10,,Q32ZE2,1.08E-33,Adenosine receptor A2b,adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cGMP-mediated signaling [GO:0019934]; mast cell degranulation [GO:0043303]; positive regulation of cGMP-mediated signaling [GO:0010753]; positive regulation of chemokine production [GO:0032722]; positive regulation of chronic inflammatory response to non-antigenic stimulus [GO:0002882]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of mast cell degranulation [GO:0043306]; positive regulation of vascular endothelial growth factor production [GO:0010575]; presynaptic modulation of chemical synaptic transmission [GO:0099171]; relaxation of vascular associated smooth muscle [GO:0060087],GO:0001609; GO:0002882; GO:0005886; GO:0007189; GO:0010575; GO:0010753; GO:0019934; GO:0032722; GO:0032755; GO:0043303; GO:0043306; GO:0060087; GO:0098685; GO:0098793; GO:0098978; GO:0099171
132,Pocillopora_acuta_HIv2___RNAseq.g5003.t1,327.1969847,-13.43115733,3.703871477,3.00E-12,3.29E-10,,NA,NA,NA,NA,NA
133,Pocillopora_acuta_HIv2___RNAseq.g15838.t1,947.2488888,-1.014613252,1.904746861,3.10E-12,3.37E-10,,A0JP86,5.07E-08,Laminin subunit gamma-1,cell adhesion [GO:0007155],GO:0005576; GO:0005604; GO:0007155
134,Pocillopora_acuta_HIv2___RNAseq.g22261.t1,1251.450849,15.92383318,4.191192768,3.16E-12,3.41E-10,Skeletal aspartic acid-rich protein 2,B3EWY8,1.14E-104,Skeletal aspartic acid-rich protein 2,,GO:0016020
135,Pocillopora_acuta_HIv2___TS.g5308.t2,759.0358857,12.43106547,3.012334724,3.18E-12,3.41E-10,fibroblast growth factor-activated receptor activity,Q9VBW3,7.83E-67,Tyrosine kinase receptor Cad96Ca (EC 2.7.10.1) (Cadherin-96Ca) (Tyrosine kinase receptor HD-14),calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; Golgi organization [GO:0007030]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; negative regulation of cell size [GO:0045792]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of wound healing [GO:0090303]; protein phosphorylation [GO:0006468]; wound healing [GO:0042060],GO:0004713; GO:0004714; GO:0005509; GO:0005524; GO:0005886; GO:0006468; GO:0007030; GO:0007156; GO:0016339; GO:0042060; GO:0043235; GO:0045177; GO:0045792; GO:0051897; GO:0090303
136,Pocillopora_acuta_HIv2___RNAseq.g26798.t1,364.9474628,-13.49115433,3.71989483,3.27E-12,3.48E-10,,NA,NA,NA,NA,NA
137,Pocillopora_acuta_HIv2___RNAseq.g29539.t1,4459.140292,-10.18252479,4.405085504,3.35E-12,3.54E-10,,NA,NA,NA,NA,NA
138,Pocillopora_acuta_HIv2___RNAseq.g2220.t1,4540.857745,-8.543743712,2.118420285,3.43E-12,3.60E-10,,NA,NA,NA,NA,NA
139,Pocillopora_acuta_HIv2___RNAseq.g4369.t1,689.3013006,-9.452323085,2.106194253,3.51E-12,3.64E-10,,O75096,0,Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7),amyloid-beta clearance by cellular catabolic process [GO:0150094]; dendrite morphogenesis [GO:0048813]; dorsal/ventral pattern formation [GO:0009953]; embryonic digit morphogenesis [GO:0042733]; endocytosis [GO:0006897]; enzyme-linked receptor protein signaling pathway [GO:0007167]; generation of neurons [GO:0048699]; hair follicle development [GO:0001942]; kidney development [GO:0001822]; limb development [GO:0060173]; negative regulation of axonogenesis [GO:0050771]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of ossification [GO:0030279]; odontogenesis of dentin-containing tooth [GO:0042475]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of presynaptic membrane organization [GO:1901631]; positive regulation of Rac protein signal transduction [GO:0035022]; positive regulation of skeletal muscle acetylcholine-gated channel clustering [GO:1904395]; postsynaptic membrane assembly [GO:0097104]; presynaptic membrane assembly [GO:0097105]; proximal/distal pattern formation [GO:0009954]; skeletal muscle acetylcholine-gated channel clustering [GO:0071340]; synapse organization [GO:0050808]; synaptic assembly at neuromuscular junction [GO:0051124]; Wnt signaling pathway [GO:0016055],GO:0001822; GO:0001942; GO:0005509; GO:0005886; GO:0006897; GO:0007167; GO:0009953; GO:0009954; GO:0009986; GO:0014069; GO:0015026; GO:0016055; GO:0030279; GO:0030425; GO:0030971; GO:0031594; GO:0034185; GO:0035022; GO:0042475; GO:0042733; GO:0042803; GO:0043025; GO:0044853; GO:0048699; GO:0048813; GO:0050731; GO:0050771; GO:0050808; GO:0051124; GO:0060173; GO:0071340; GO:0090090; GO:0097060; GO:0097104; GO:0097105; GO:0097110; GO:0150094; GO:1901631; GO:1904395
140,Pocillopora_acuta_HIv2___RNAseq.g14366.t1,250.6020684,13.34522164,3.537360436,3.53E-12,3.64E-10,Scavenger receptor class A member 5,Q5RFW0,7.91E-07,Scavenger receptor class A member 5,endocytosis [GO:0006897]; intracellular iron ion homeostasis [GO:0006879]; iron ion transmembrane transport [GO:0034755]; protein homotrimerization [GO:0070207],GO:0005886; GO:0006879; GO:0006897; GO:0034755; GO:0070207; GO:0070287
141,Pocillopora_acuta_HIv2___RNAseq.g14347.t1,3739.229282,9.626104168,2.398242384,3.75E-12,3.85E-10,,A2AX52,3.50E-14,Collagen alpha-4(VI) chain,cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198],GO:0005518; GO:0005576; GO:0005581; GO:0007155; GO:0030198; GO:0031012; GO:0032991; GO:0062023
142,Pocillopora_acuta_HIv2___RNAseq.g2995.t1,1190.368581,-12.39303555,2.907888935,3.86E-12,3.93E-10,,Q90Z12,2.22E-42,Transcription factor HES-4-A (Hairy and enhancer of split 4-A) (Protein hairy-2) (Xhairy2) (Protein hairy-2a) (Xhairy2a),BMP signaling pathway [GO:0030509]; floor plate development [GO:0033504]; lens development in camera-type eye [GO:0002088]; negative regulation of apoptotic process [GO:0043066]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neural crest formation [GO:0014029]; prechordal plate formation [GO:0021501],GO:0000122; GO:0002088; GO:0005634; GO:0014029; GO:0021501; GO:0030509; GO:0033504; GO:0043066; GO:0043425; GO:0043565; GO:0045892; GO:0046983
143,Pocillopora_acuta_HIv2___RNAseq.g3838.t1,1113.346911,-0.831206594,1.553757495,3.99E-12,4.04E-10,,Q9HD45,0,Transmembrane 9 superfamily member 3 (EP70-P-iso) (SM-11044-binding protein),protein localization to membrane [GO:0072657],GO:0016020; GO:0072657
144,Pocillopora_acuta_HIv2___RNAseq.g16699.t1,328.7387831,-13.49180769,3.751578744,4.39E-12,4.41E-10,,P19440,5.01E-149,Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain],amino acid metabolic process [GO:0006520]; cysteine biosynthetic process [GO:0019344]; fatty acid metabolic process [GO:0006631]; glutamate metabolic process [GO:0006536]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]; leukotriene D4 biosynthetic process [GO:1901750]; leukotriene metabolic process [GO:0006691]; peptide modification [GO:0031179]; proteolysis [GO:0006508]; regulation of immune system process [GO:0002682]; regulation of inflammatory response [GO:0050727]; spermatogenesis [GO:0007283]; zymogen activation [GO:0031638],GO:0000048; GO:0002682; GO:0002951; GO:0005615; GO:0005886; GO:0006508; GO:0006520; GO:0006536; GO:0006631; GO:0006691; GO:0006750; GO:0006751; GO:0007283; GO:0019344; GO:0031179; GO:0031638; GO:0036374; GO:0050727; GO:0070062; GO:0103068; GO:1901750
145,Pocillopora_acuta_HIv2___RNAseq.g26267.t1,338.9903675,-13.4165757,3.728813202,4.56E-12,4.55E-10,,Q3MHX6,1.06E-31,Protein OS-9,"endoplasmic reticulum unfolded protein response [GO:0030968]; ERAD pathway [GO:0036503]; protein retention in ER lumen [GO:0006621]; response to endoplasmic reticulum stress [GO:0034976]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent protein catabolic process [GO:0006511]",GO:0005788; GO:0006511; GO:0006621; GO:0030246; GO:0030968; GO:0030970; GO:0034976; GO:0036503
146,Pocillopora_acuta_HIv2___RNAseq.g16486.t1,2676.391456,-13.41458322,3.229278607,4.90E-12,4.85E-10,Mucin-like protein,B3EWY9,3.19E-114,Mucin-like protein,cell-matrix adhesion [GO:0007160],GO:0005509; GO:0005615; GO:0007160; GO:0016020
147,Pocillopora_acuta_HIv2___RNAseq.g7678.t1,349.9617105,-13.51614832,3.754079665,5.09E-12,5.00E-10,,Q60631,4.98E-85,Growth factor receptor-bound protein 2 (Adapter protein GRB2) (SH2/SH3 adapter GRB2),actin cytoskeleton organization [GO:0030036]; anatomical structure formation involved in morphogenesis [GO:0048646]; B cell receptor signaling pathway [GO:0050853]; branching involved in labyrinthine layer morphogenesis [GO:0060670]; cellular response to ionizing radiation [GO:0071479]; endodermal cell differentiation [GO:0035987]; epidermal growth factor receptor signaling pathway [GO:0007173]; ERBB2-ERBB3 signaling pathway [GO:0038133]; fibroblast growth factor receptor signaling pathway [GO:0008543]; insulin receptor signaling pathway [GO:0008286]; insulin-like growth factor receptor signaling pathway [GO:0048009]; myelination [GO:0042552]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; Ras protein signal transduction [GO:0007265]; receptor internalization [GO:0031623]; regulation of MAPK cascade [GO:0043408]; Schwann cell development [GO:0014044]; signal transduction [GO:0007165]; signal transduction in response to DNA damage [GO:0042770],GO:0001784; GO:0005068; GO:0005091; GO:0005154; GO:0005168; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005768; GO:0005794; GO:0005829; GO:0005886; GO:0005911; GO:0005938; GO:0007165; GO:0007173; GO:0007265; GO:0008180; GO:0008286; GO:0008543; GO:0012506; GO:0014044; GO:0016020; GO:0017124; GO:0019899; GO:0019903; GO:0019904; GO:0030036; GO:0030674; GO:0030838; GO:0031623; GO:0032991; GO:0035987; GO:0038133; GO:0042552; GO:0042770; GO:0042802; GO:0043408; GO:0043560; GO:0044877; GO:0046875; GO:0048009; GO:0048646; GO:0050853; GO:0051219; GO:0060090; GO:0060670; GO:0070436; GO:0071479; GO:2000379
148,Pocillopora_acuta_HIv2___RNAseq.g13102.t1,1328.680643,12.63650993,3.301259459,5.35E-12,5.23E-10,,NA,NA,NA,NA,NA
149,Pocillopora_acuta_HIv2___RNAseq.g21444.t1,338.5705381,-13.3295976,3.712897807,5.40E-12,5.24E-10,,NA,NA,NA,NA,NA
150,Pocillopora_acuta_HIv2___RNAseq.g14763.t1,411.1490024,-13.56814673,3.791305466,6.56E-12,6.32E-10,,Q90YK3,8.96E-06,L-gulonolactone oxidase (LGO) (EC 1.1.3.8) (L-gulono-gamma-lactone oxidase) (GLO),L-ascorbic acid biosynthetic process [GO:0019853],GO:0003885; GO:0005789; GO:0019853; GO:0050105; GO:0050660; GO:0071949
151,Pocillopora_acuta_HIv2___RNAseq.g28990.t2,1305.915719,-0.848401764,1.576472925,6.62E-12,6.34E-10,,Q02874,2.65E-147,Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (H2A.y) (H2A/y),"DNA repair [GO:0006281]; epigenetic regulation of gene expression [GO:0040029]; establishment of protein localization to chromatin [GO:0071169]; heterochromatin formation [GO:0031507]; negative regulation of cell cycle G2/M phase transition [GO:1902750]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of protein localization to chromosome, telomeric region [GO:1904815]; negative regulation of response to oxidative stress [GO:1902883]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription of nucleolar large rRNA by RNA polymerase I [GO:1901837]; nucleosome assembly [GO:0006334]; positive regulation of endodermal cell differentiation [GO:1903226]; positive regulation of keratinocyte differentiation [GO:0045618]; positive regulation of maintenance of mitotic sister chromatid cohesion [GO:0034184]; positive regulation of response to oxidative stress [GO:1902884]; regulation of lipid metabolic process [GO:0019216]; regulation of NAD metabolic process [GO:1902688]; regulation of oxidative phosphorylation [GO:0002082]; regulation of response to oxidative stress [GO:1902882]; sex-chromosome dosage compensation [GO:0007549]; transcription initiation-coupled chromatin remodeling [GO:0045815]",GO:0000122; GO:0000182; GO:0000228; GO:0000785; GO:0000786; GO:0000793; GO:0000976; GO:0000977; GO:0001740; GO:0002082; GO:0003682; GO:0005634; GO:0005654; GO:0005721; GO:0005730; GO:0006281; GO:0006334; GO:0007549; GO:0010385; GO:0019216; GO:0019899; GO:0019901; GO:0030291; GO:0030527; GO:0031490; GO:0031492; GO:0031507; GO:0034184; GO:0040029; GO:0045618; GO:0045814; GO:0045815; GO:0046982; GO:0071169; GO:0072570; GO:0090734; GO:0160002; GO:1901837; GO:1902688; GO:1902750; GO:1902882; GO:1902883; GO:1902884; GO:1903226; GO:1904815; GO:1990841
152,Pocillopora_acuta_HIv2___RNAseq.g4770.t1,383.9633546,-13.4647953,3.803668638,7.43E-12,7.07E-10,,Q8TE73,0,Dynein axonemal heavy chain 5 (Axonemal beta dynein heavy chain 5) (Ciliary dynein heavy chain 5),cilium assembly [GO:0060271]; cilium movement [GO:0003341]; cilium movement involved in cell motility [GO:0060294]; determination of left/right symmetry [GO:0007368]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; establishment of localization in cell [GO:0051649]; flagellated sperm motility [GO:0030317]; heart development [GO:0007507]; lateral ventricle development [GO:0021670]; outer dynein arm assembly [GO:0036158],GO:0003341; GO:0003351; GO:0005524; GO:0005576; GO:0005737; GO:0005874; GO:0005930; GO:0007368; GO:0007507; GO:0008569; GO:0016887; GO:0021670; GO:0030317; GO:0031514; GO:0036157; GO:0036158; GO:0045505; GO:0051649; GO:0051959; GO:0060271; GO:0060294; GO:0097728; GO:0097729
153,Pocillopora_acuta_HIv2___RNAseq.g17965.t1,339.1455142,-13.18587874,3.695361644,7.52E-12,7.11E-10,,O02824,5.16E-62,Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor),adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adult heart development [GO:0007512]; cell growth involved in cardiac muscle cell development [GO:0061049]; MAPK cascade [GO:0000165]; negative regulation of autophagy [GO:0010507]; negative regulation of heart rate involved in baroreceptor response to increased systemic arterial blood pressure [GO:0001985]; neuron-glial cell signaling [GO:0150099]; norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure [GO:0001994]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; pilomotor reflex [GO:0097195]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of heart rate by epinephrine-norepinephrine [GO:0001996]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of smooth muscle contraction [GO:0045987]; positive regulation of the force of heart contraction by epinephrine-norepinephrine [GO:0001997]; positive regulation of vasoconstriction [GO:0045907]; regulation of cardiac muscle contraction [GO:0055117],GO:0000165; GO:0001985; GO:0001994; GO:0001996; GO:0001997; GO:0004937; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0005901; GO:0007200; GO:0007204; GO:0007512; GO:0010507; GO:0010613; GO:0031965; GO:0043410; GO:0045907; GO:0045987; GO:0046982; GO:0055117; GO:0061049; GO:0071880; GO:0097195; GO:0150099
154,Pocillopora_acuta_HIv2___RNAseq.g21169.t1,384.7261988,-13.52121084,3.782362435,7.57E-12,7.11E-10,,P79218,7.24E-24,Substance-K receptor (SKR) (NK-2 receptor) (NK-2R) (Neurokinin A receptor) (Tachykinin receptor 2),positive regulation of flagellated sperm motility [GO:1902093]; regulation of uterine smooth muscle contraction [GO:0070472],GO:0005886; GO:0016497; GO:0061827; GO:0070472; GO:0097225; GO:1902093
155,Pocillopora_acuta_HIv2___TS.g1310.t1,377.3342042,-13.44905885,3.753217808,7.70E-12,7.19E-10,,NA,NA,NA,NA,NA
156,Pocillopora_acuta_HIv2___RNAseq.g9466.t1,3868.107379,-8.737792426,5.463500698,7.82E-12,7.25E-10,TRP A1,Q6RI86,1.07E-142,Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Wasabi receptor),calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; cell surface receptor signaling pathway [GO:0007166]; cellular response to caffeine [GO:0071313]; cellular response to carbon dioxide [GO:0071244]; cellular response to cold [GO:0070417]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of mechanical stimulus involved in sensory perception [GO:0050974]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; intracellular calcium ion homeostasis [GO:0006874]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of monoatomic anion transport [GO:1903793]; protein homotetramerization [GO:0051289]; regulation of blood circulation [GO:1903522]; regulation of neuronal action potential [GO:0098908]; response to cold [GO:0009409]; response to hydrogen peroxide [GO:0042542]; response to organic cyclic compound [GO:0014070]; response to pain [GO:0048265]; response to xenobiotic stimulus [GO:0009410]; sensory perception of pain [GO:0019233]; thermoception [GO:0050955]; urinary bladder smooth muscle contraction [GO:0014832],GO:0005216; GO:0005245; GO:0005262; GO:0005886; GO:0006816; GO:0006874; GO:0007166; GO:0009409; GO:0009410; GO:0014070; GO:0014832; GO:0015267; GO:0015278; GO:0016324; GO:0019233; GO:0030424; GO:0032421; GO:0034605; GO:0035774; GO:0042542; GO:0042802; GO:0046872; GO:0048265; GO:0050955; GO:0050966; GO:0050968; GO:0050974; GO:0051289; GO:0070301; GO:0070417; GO:0070588; GO:0071244; GO:0071313; GO:0097553; GO:0097604; GO:0098908; GO:1903522; GO:1903793; GO:1990760
157,Pocillopora_acuta_HIv2___RNAseq.g10039.t1,1074.942516,-0.803275827,1.511893751,8.20E-12,7.49E-10,,P25210,2.56E-62,Nuclear transcription factor Y subunit beta (CAAT box DNA-binding protein subunit B) (Nuclear transcription factor Y subunit B) (NF-YB),,GO:0000978; GO:0001228; GO:0016602; GO:0046982
158,Pocillopora_acuta_HIv2___RNAseq.g14817.t1,308.2779303,-13.21822103,3.688391122,8.22E-12,7.49E-10,,E7F6F9,7.72E-39,Kelch-like protein 3,distal tubule morphogenesis [GO:0072156]; monoatomic ion homeostasis [GO:0050801]; protein K48-linked ubiquitination [GO:0070936]; protein ubiquitination [GO:0016567]; renal sodium ion absorption [GO:0070294]; ubiquitin-dependent protein catabolic process [GO:0006511],GO:0003779; GO:0005829; GO:0005856; GO:0006511; GO:0016567; GO:0031463; GO:0050801; GO:0070294; GO:0070936; GO:0072156; GO:1990756
159,Pocillopora_acuta_HIv2___RNAseq.g29834.t1,364.4358387,-13.35337662,3.748440044,8.23E-12,7.49E-10,,NA,NA,NA,NA,NA
160,Pocillopora_acuta_HIv2___RNAseq.g17943.t1,393.527068,-13.698765,3.829304167,8.61E-12,7.78E-10,,NA,NA,NA,NA,NA
161,Pocillopora_acuta_HIv2___RNAseq.g14014.t1,1371.247312,-10.19388256,2.606955897,9.43E-12,8.44E-10,ZP domain-containing protein,G8HTB6,1.54E-16,ZP domain-containing protein,,GO:0016020
